iter	RMSE
0	977.5929926
1	940.5599725
2	904.6275204
3	871.4309634
4	842.3597635
5	814.0057167
6	788.2492224
7	762.9629956
8	740.6441198
9	716.9162969
10	694.7902581
11	674.9227096
12	655.5444252
13	637.5481868
14	620.741843
15	604.5505332
16	588.2294981
17	573.6889383
18	559.8031285
19	546.8556936
20	534.8741235
21	523.1916421
22	511.9003305
23	501.2010418
24	490.8350839
25	481.1828024
26	470.8641259
27	461.5225833
28	452.7021428
29	443.6372646
30	436.0308886
31	428.9777383
32	421.7251817
33	414.2920592
34	407.7029532
35	400.8196306
36	394.4788315
37	388.3995848
38	382.5559407
39	377.2441002
40	372.2394202
41	367.1716419
42	362.4564767
43	357.3021615
44	352.8031569
45	348.266871
46	343.9653481
47	339.5353494
48	335.6843841
49	331.9229831
50	327.3804511
51	323.2205319
52	319.6362737
53	315.6730869
54	312.0231171
55	308.7681521
56	305.4123013
57	302.2927928
58	298.8972228
59	295.7394085
60	292.8569081
61	289.6848144
62	286.6578385
63	283.9592022
64	281.2015553
65	278.2426876
66	275.3712335
67	273.0557538
68	270.8746501
69	268.5980071
70	266.2195348
71	263.7988865
72	261.5487336
73	259.3687138
74	256.9364812
75	254.7337408
76	252.7713111
77	250.7277048
78	247.9224394
79	246.0341186
80	244.3198107
81	242.5745148
82	240.6275977
83	238.5595591
84	236.8850297
85	235.0568146
86	233.1954533
87	231.6460248
88	229.7498665
89	228.1202868
90	225.7186007
91	224.1918139
92	222.4942601
93	221.0714058
94	219.7328625
95	218.4552418
96	216.557638
97	214.7453875
98	212.3492509
99	210.2831088
100	208.8435968
101	207.5494846
102	206.2276884
103	204.1990604
104	202.6743224
105	201.3096909
106	199.897478
107	198.7598137
108	196.812368
109	195.1630526
110	193.5941412
111	192.4041263
112	190.5552325
113	189.3252664
114	188.2786993
115	187.255845
116	186.2911285
117	185.0338212
118	184.0046221
119	182.146191
120	181.0936163
121	179.9142656
122	178.9940082
123	178.0186197
124	176.9133159
125	176.0557721
126	175.062774
127	174.2517924
128	173.2350874
129	172.3794888
130	170.8298703
131	170.0091815
132	169.0648925
133	168.2200414
134	166.8858817
135	165.6388714
136	164.8550283
137	163.7559887
138	162.9798067
139	162.2763574
140	161.1399271
141	159.9868081
142	159.0340737
143	158.2766696
144	156.9467257
145	156.2161964
146	155.0446912
147	153.9463941
148	153.047702
149	152.4068954
150	151.7517475
151	151.1185823
152	150.1748686
153	149.4179456
154	148.6185955
155	148.0032153
156	146.8439276
157	146.3115313
158	145.2927054
159	144.6655137
160	144.0591405
161	143.3262389
162	142.3542137
163	141.709269
164	140.9577374
165	139.9563419
166	139.4528275
167	138.9536795
168	138.3629108
169	137.3745934
170	136.8097798
171	135.9634795
172	135.307531
173	134.7719199
174	133.892276
175	133.2820354
176	132.4666692
177	131.7804121
178	131.3405813
179	130.7684436
180	130.3204339
181	129.7939981
182	129.3126893
183	128.8582312
184	128.1488671
185	127.7604718
186	127.2245593
187	126.5486837
188	125.8366738
189	125.2224355
190	124.8140409
191	124.1163789
192	123.7419265
193	123.2592561
194	122.7377302
195	122.2697799
196	121.8655979
197	121.416481
198	120.9556417
199	120.4028913
200	119.7496237
201	119.1537441
202	118.7877931
203	118.4382717
204	118.0897635
205	117.7606083
206	117.1539463
207	116.7378505
208	116.136683
209	115.695762
210	115.3537694
211	114.9605973
212	114.6314448
213	114.1287034
214	113.8355975
215	113.4622764
216	113.1764231
217	112.8998355
218	112.5395646
219	112.1434835
220	111.8687713
221	111.5341717
222	111.0997645
223	110.6505727
224	110.3640555
225	109.9537367
226	109.6843694
227	109.3594239
228	108.9408579
229	108.5623367
230	108.0730172
231	107.8212539
232	107.3913907
233	107.0826954
234	106.7597284
235	106.4608676
236	106.1545152
237	105.873265
238	105.5984588
239	105.158661
240	104.934082
241	104.7203172
242	104.2502535
243	103.9600362
244	103.6770293
245	103.3818225
246	103.1746274
247	102.9267211
248	102.5587058
249	102.2158
250	101.9318628
251	101.6384031
252	101.2549775
253	100.9873823
254	100.7934838
255	100.5636165
256	100.3073406
257	100.065356
258	99.85129989
259	99.55758266
260	99.36303038
261	99.18031866
262	98.88878184
263	98.65264689
264	98.47991303
265	98.20443481
266	97.95201603
267	97.6783595
268	97.23106493
269	96.95500598
270	96.70037326
271	96.52660035
272	96.29137565
273	96.11685515
274	95.93553211
275	95.71536944
276	95.46840052
277	95.24579107
278	95.04072281
279	94.82448647
280	94.64670913
281	94.42200009
282	94.21610221
283	94.02690166
284	93.84252952
285	93.67444016
286	93.41763807
287	93.24051067
288	93.09876824
289	92.87321534
290	92.71605362
291	92.58111203
292	92.41284875
293	92.231299
294	92.04725822
295	91.79191942
296	91.5976313
297	91.45788474
298	91.23630613
299	91.08702187
300	90.88979277
301	90.67428817
302	90.50390307
303	90.32521707
304	90.20837377
305	89.94018217
306	89.70933998
307	89.52900756
308	89.41278541
309	89.2553685
310	89.09447663
311	88.94780689
312	88.82295506
313	88.59053302
314	88.47932235
315	88.32319142
316	88.20730924
317	88.02330057
318	87.8410023
319	87.65579006
320	87.48246924
321	87.34260064
322	87.21153447
323	87.09619537
324	86.95761965
325	86.81752635
326	86.65855194
327	86.49369539
328	86.3729076
329	86.18103274
330	86.05825378
331	85.92209074
332	85.79016878
333	85.62752206
334	85.48937697
335	85.38153172
336	85.27368015
337	85.16724424
338	85.05109226
339	84.89628075
340	84.7700019
341	84.63886258
342	84.51523586
343	84.38243463
344	84.2457414
345	84.09354802
346	83.95551767
347	83.82044123
348	83.68785383
349	83.59443242
350	83.46309482
351	83.36570284
352	83.26714207
353	83.18091796
354	83.07847465
355	82.92027346
356	82.81958874
357	82.74449142
358	82.61650342
359	82.48054766
360	82.36401184
361	82.12668172
362	82.03577943
363	81.91432236
364	81.80842151
365	81.70557338
366	81.51793553
367	81.40548724
368	81.28892981
369	81.18060561
370	81.06643992
371	80.95178932
372	80.83819402
373	80.71723747
374	80.54463597
375	80.3936619
376	80.29535254
377	80.19821737
378	80.12131524
379	80.02412112
380	79.9298779
381	79.81423754
382	79.67754183
383	79.60326834
384	79.50642236
385	79.41190788
386	79.31360064
387	79.21835123
388	79.12384854
389	79.02792188
390	78.95673011
391	78.82930383
392	78.73058788
393	78.63785117
394	78.51557011
395	78.42824202
396	78.31193902
397	78.16477781
398	78.07252878
399	77.98827694
400	77.88895942
401	77.79625016
402	77.70139745
403	77.57374378
404	77.48884937
405	77.39035339
406	77.30110309
407	77.21069678
408	77.14327032
409	77.04816338
410	76.98545288
411	76.89667753
412	76.82435551
413	76.76159454
414	76.67892312
415	76.62273705
416	76.51254967
417	76.44292677
418	76.34437704
419	76.25688262
420	76.15339424
421	76.06834158
422	75.99175831
423	75.9124485
424	75.84621102
425	75.76951054
426	75.69960692
427	75.62553662
428	75.56897229
429	75.48825202
430	75.3993035
431	75.32557048
432	75.24711515
433	75.16056022
434	75.09290412
435	75.02546425
436	74.95536393
437	74.83693233
438	74.76152173
439	74.70385064
440	74.64309043
441	74.54825012
442	74.49751338
443	74.40646392
444	74.34106654
445	74.23572157
446	74.16178206
447	74.07416747
448	74.0094231
449	73.9259991
450	73.87315353
451	73.782102
452	73.6743695
453	73.6070565
454	73.52645183
455	73.47515442
456	73.39759499
457	73.31875579
458	73.24632185
459	73.17301763
460	73.1126081
461	73.01463987
462	72.93470263
463	72.85239883
464	72.80493501
465	72.72041016
466	72.64086449
467	72.55781775
468	72.49808678
469	72.43956836
470	72.37821508
471	72.27534612
472	72.20257018
473	72.1098221
474	72.03322695
475	71.9624461
476	71.90642175
477	71.86213024
478	71.80299716
479	71.73174125
480	71.66132184
481	71.59678072
482	71.5296166
483	71.43882609
484	71.37934907
485	71.30694036
486	71.23941023
487	71.18338894
488	71.13574972
489	71.07558113
490	71.00945674
491	70.94498832
492	70.88201042
493	70.83584854
494	70.77497802
495	70.71571425
496	70.67019184
497	70.60600906
498	70.53729978
499	70.49031419
500	70.42728749
501	70.37273587
502	70.31715261
503	70.28202734
504	70.22450562
505	70.16018088
506	70.09868643
507	70.04186184
508	69.97861546
509	69.90569613
510	69.85316819
511	69.81193726
512	69.7620877
513	69.6763816
514	69.6389646
515	69.6073888
516	69.55562405
517	69.50006222
518	69.42774248
519	69.36233847
520	69.31227492
521	69.23869272
522	69.20219678
523	69.15441979
524	69.11855703
525	69.05972247
526	69.00263859
527	68.93085237
528	68.87838079
529	68.83552925
530	68.78290614
531	68.72877511
532	68.67798491
533	68.64191666
534	68.57835545
535	68.54093519
536	68.48268376
537	68.40749405
538	68.34574019
539	68.29025941
540	68.24899533
541	68.18547269
542	68.12390693
543	68.08233869
544	68.02526958
545	67.98621565
546	67.95255144
547	67.91042497
548	67.8664861
549	67.82533348
550	67.76194834
551	67.71055518
552	67.65779604
553	67.5915186
554	67.55415351
555	67.50920625
556	67.47074733
557	67.42568378
558	67.38225019
559	67.32155675
560	67.2648611
561	67.2229145
562	67.17031115
563	67.11142539
564	67.05910052
565	66.99674332
566	66.95431032
567	66.910199
568	66.87551149
569	66.83251989
570	66.79425809
571	66.7357642
572	66.69009755
573	66.6307813
574	66.59164207
575	66.5504866
576	66.50946067
577	66.46340715
578	66.42005476
579	66.3795254
580	66.3379865
581	66.27980076
582	66.22752315
583	66.17476497
584	66.13921442
585	66.07725577
586	66.02930873
587	65.9948344
588	65.96259754
589	65.9038266
590	65.85764232
591	65.80089292
592	65.74548609
593	65.71983306
594	65.681505
595	65.62843558
596	65.58130567
597	65.54329465
598	65.50774747
599	65.46436836
600	65.42393857
601	65.38352862
602	65.32866251
603	65.29680416
604	65.25342214
605	65.21749435
606	65.17413753
607	65.13322326
608	65.10335336
609	65.04418338
610	65.00088012
611	64.96305838
612	64.9218205
613	64.88496505
614	64.84201397
615	64.80315553
616	64.74998378
617	64.71692382
618	64.6897683
619	64.63770139
620	64.5887422
621	64.56200387
622	64.51071853
623	64.48293276
624	64.45357802
625	64.41770419
626	64.36627881
627	64.31120326
628	64.26610479
629	64.23533793
630	64.19750998
631	64.16415307
632	64.12782675
633	64.09641567
634	64.05282207
635	64.01297961
636	63.96460034
637	63.92047171
638	63.89058594
639	63.84986415
640	63.8074744
641	63.7719966
642	63.73707293
643	63.70777944
644	63.68328196
645	63.64875684
646	63.62278095
647	63.57439405
648	63.51497787
649	63.4685675
650	63.42384881
651	63.39461077
652	63.34262607
653	63.30631893
654	63.28088729
655	63.2330525
656	63.19991004
657	63.17331792
658	63.14959754
659	63.12324669
660	63.08100019
661	63.04719868
662	63.00648882
663	62.96793335
664	62.93356275
665	62.88830604
666	62.8502667
667	62.82075486
668	62.77737287
669	62.73865117
670	62.70080587
671	62.66270846
672	62.62155705
673	62.58170438
674	62.52849585
675	62.48212794
676	62.42903987
677	62.39853106
678	62.36143086
679	62.32185346
680	62.28523652
681	62.23504565
682	62.18793431
683	62.1507331
684	62.11431548
685	62.06414088
686	62.03684093
687	62.00804071
688	61.97197957
689	61.93309248
690	61.89146055
691	61.86103518
692	61.83630499
693	61.79106013
694	61.74398953
695	61.71081084
696	61.67971131
697	61.6466961
698	61.60665867
699	61.56764655
700	61.54216574
701	61.50443894
702	61.47662974
703	61.44643532
704	61.41221706
705	61.37918694
706	61.35459755
707	61.32595317
708	61.28763574
709	61.24489546
710	61.20910398
711	61.169597
712	61.13188031
713	61.10238408
714	61.06619756
715	61.02224012
716	60.99866978
717	60.96746112
718	60.91510116
719	60.89466148
